exchange,date,symbol,isin,open,high,low,close,volume,series,last,prevclose,tottrdval,timestamp,totaltrades,sc_group,no_trades,net_turnov,tdcloindi
bse,2018-07-30,OCEANIC,540405,77,77,77,77,1000,EQ,77,73.8,NA,NA,NA,M,1,77e3,NA
bse,2018-07-30,SHANKARA,540425,1598,1598,1525.6,1551.6,7506,EQ,1550,1595.8,NA,NA,NA,B,736,11691067,NA
bse,2018-07-30,SCHAND,540497,362.8,368.95,358.15,362.5,1171,EQ,362.5,358.15,NA,NA,NA,B,69,424152,NA
bse,2018-07-30,MEERA,540519,194,194,185,185,2000,EQ,185,188,NA,NA,NA,M,4,375e3,NA
bse,2018-07-30,IRBINVIT,540526,79.88,79.88,79.05,79.05,25000,EQ,79.05,79.12,NA,NA,NA,IF,5,1981950,NA
bse,2018-07-30,HUDCO,540530,53.75,55.5,53.25,54.9,250316,EQ,54.9,53.35,NA,NA,NA,B,1244,13705286,NA
bse,2018-07-30,PSPPROJECT,540544,486.9,495,481,491.35,3165,EQ,493.75,474.25,NA,NA,NA,B,97,1547327,NA
bse,2018-07-30,INDIGRID,540565,95.82,96,95.65,95.65,61236,EQ,95.65,95.77,NA,NA,NA,IF,10,5862683,NA
bse,2018-07-30,STARCEMENT,540575,114.15,118.3,114.15,115.05,4265,EQ,115.05,114.4,NA,NA,NA,B,386,497190,NA
bse,2018-07-30,RIDDHICORP,540590,130,130,130,130,1000,EQ,130,135,NA,NA,NA,M,1,13e4,NA
bse,2018-07-30,HEOF1126RG,540593,8.95,9.25,8.95,9.15,36832,EQ,9.15,9.01,NA,NA,NA,B,15,336313,NA
bse,2018-07-30,TEJASNET,540595,287.55,294,277,289.8,23215,EQ,290,287.6,NA,NA,NA,B,661,6684843,NA
bse,2018-07-30,ERIS,540596,712.5,714.95,700,705.7,150,EQ,705.7,715,NA,NA,NA,B,27,106374,NA
bse,2018-07-30,GTPL,540602,91,92.8,90.7,91,94722,EQ,92.6,90.75,NA,NA,NA,B,166,8689101,NA
bse,2018-07-30,AUBANK,540611,636.8,642.9,636.8,641.05,3429,EQ,641,634.35,NA,NA,NA,B,229,2195881,XD
bse,2018-07-30,ARTEMIS,540616,82,88,82,88,65,EQ,88,84.7,NA,NA,NA,B,8,5441,NA
bse,2018-07-30,HEOF1100RG,540636,8.1,9,8.1,8.73,2787,EQ,8.73,8.62,NA,NA,NA,B,5,24344,NA
bse,2018-07-30,SALASAR,540642,307,309.5,302,307,610,EQ,307,305.25,NA,NA,NA,B,23,186581,NA
bse,2018-07-30,GANGESSEC,540647,61.75,61.75,61.75,61.75,1,EQ,61.75,51.9,NA,NA,NA,B,1,61,NA
bse,2018-07-30,PALASHSEC,540648,45.1,48,45.1,45.3,22,EQ,45.3,48.15,NA,NA,NA,B,4,1023,NA
bse,2018-07-30,AVADHSUGAR,540649,301.65,314.9,289,310.15,3543,EQ,310.15,296.45,NA,NA,NA,B,135,1083998,NA
bse,2018-07-30,MAGADHSUGAR,540650,75.4,79,75.1,76.45,260,EQ,78.95,71.1,NA,NA,NA,B,13,19868,NA
bse,2018-07-30,SINTEXPLAST,540653,37.85,37.9,36.35,36.5,197023,EQ,36.5,37.7,NA,NA,NA,B,837,7286630,NA
bse,2018-07-30,UTINEXT50,540669,293,294,293,294,179,EQ,294,284.33,NA,NA,NA,B,4,52547,NA
bse,2018-07-30,SIS,540673,1113,1126.75,1076.25,1079.75,421,EQ,1076.25,1084.5,NA,NA,NA,B,79,460511,NA
